x_real,y_real,z_real,yaw,velocity,change_flag
640235.9378,5193536.7732,160.0000,2.6721,19.4851,0
640234.9726,5193537.2311,160.0000,2.6519,19.4851,0
640234.0092,5193537.7074,160.0000,2.6398,19.6018,0
640233.0417,5193538.1901,160.0000,2.6365,19.7185,0
640232.0651,5193538.6745,160.0000,2.6404,19.8352,0
640231.0790,5193539.1517,160.0000,2.6494,19.9518,0
640230.0811,5193539.6203,160.0000,2.6605,20.0685,0
640229.0747,5193540.0833,160.0000,2.6720,20.3019,0
640228.0560,5193540.5390,160.0000,2.6864,20.3019,0
640227.0220,5193540.9739,160.0000,2.7062,20.5352,0
640225.9743,5193541.3868,160.0000,2.7308,20.5352,0
640224.9100,5193541.7744,160.0000,2.7581,20.7686,0
640223.8275,5193542.1298,160.0000,2.7883,20.8853,0
640222.7262,5193542.4543,160.0000,2.8197,21.0019,0
640221.6063,5193542.7481,160.0000,2.8513,21.2353,0
640220.4683,5193543.0063,160.0000,2.8841,21.3520,0
640219.3120,5193543.2289,160.0000,2.9169,21.5853,0
640218.1374,5193543.4164,160.0000,2.9497,21.8187,0
640216.9433,5193543.5652,160.0000,2.9834,21.9354,0
640215.7308,5193543.6760,160.0000,3.0150,22.2854,0
640214.5054,5193543.7474,160.0000,3.0440,22.5187,0
640213.2660,5193543.7888,160.0000,3.0680,22.6354,0
640212.0153,5193543.8067,160.0000,3.0871,22.8688,0
640210.7519,5193543.8040,160.0000,3.1032,23.1021,0
640209.4771,5193543.7803,160.0000,3.1173,23.2188,0
640208.1889,5193543.7439,160.0000,3.1286,23.4522,0
640206.8933,5193543.6940,160.0000,3.1388,23.5688,0
640205.5886,5193543.6285,160.0000,-3.1363,23.4522,0
640204.2872,5193543.5570,160.0000,-3.1322,23.1021,0
640202.9923,5193543.4847,160.0000,-3.1320,23.3355,0
640201.7040,5193543.4185,160.0000,-3.1357,23.1021,0
640200.4324,5193543.3638,160.0000,-3.1410,22.9855,0
640199.1712,5193543.3137,160.0000,3.1371,22.6354,0
640197.9206,5193543.2717,160.0000,3.1310,22.4021,0
640196.6814,5193543.2371,160.0000,3.1246,22.2854,0
640195.4548,5193543.2115,160.0000,3.1189,22.0520,0
640194.2363,5193543.1913,160.0000,3.1129,21.7020,0
640193.0363,5193543.1781,160.0000,3.1072,21.5853,0
640191.8482,5193543.1712,160.0000,3.1019,21.2353,0
640190.6754,5193543.1715,160.0000,3.0960,21.0019,0
640189.5179,5193543.1770,160.0000,3.0903,20.6519,0
640188.3758,5193543.1894,160.0000,3.0851,20.3019,0
640187.2562,5193543.2063,160.0000,3.0792,19.9518,0
640186.1627,5193543.2274,160.0000,3.0744,19.2518,0
640185.1036,5193543.2546,160.0000,3.0689,18.5517,0
640184.0803,5193543.2833,160.0000,3.0639,17.9683,0
640182.6172,5193543.3365,160.0000,3.0563,16.9182,0
640181.2310,5193543.3961,160.0000,3.0464,16.3348,0
640179.9059,5193543.4697,160.0000,3.0310,15.5181,0
640178.6379,5193543.5629,160.0000,3.0095,14.9347,0
640177.4227,5193543.6829,160.0000,2.9803,14.4680,0
640176.2623,5193543.8391,160.0000,2.9427,13.7679,0
640175.1538,5193544.0313,160.0000,2.8990,13.3012,0
640174.1034,5193544.2689,160.0000,2.8487,12.7178,0
640173.1107,5193544.5511,160.0000,2.7911,12.2511,0
640171.8774,5193544.9961,160.0000,2.7090,11.6677,0
640170.7520,5193545.5152,160.0000,2.6285,10.9677,0
640169.7332,5193546.0777,160.0000,2.5537,10.2676,0
640168.8191,5193546.6742,160.0000,2.4868,9.5676,0
640168.0085,5193547.2851,160.0000,2.4285,8.8675,0
640167.1322,5193548.0261,160.0000,2.3663,7.9341,0
640166.3953,5193548.7292,160.0000,2.3242,6.8840,0
640165.6640,5193549.4755,160.0000,2.2951,5.7172,0
640164.9031,5193550.2925,160.0000,2.2761,4.4337,0
640164.2323,5193551.0441,160.0000,2.2621,2.8003,0
