x;y;z;yaw;velocity;change_flag;x_real;y_real
10,9079;-64,3541;-1.1036;-0.1936;16.3348;0;639780,908;5194975,646
12,2456;-64,4708;-1.1047;-0.1141;16.2182;0;639782,246;5194975,529
13,594;-64,4983;-1.1047;-0.0524;16.3348;0;639783,594;5194975,502
14,9478;-64,4681;-1.1049;-0.0124;16.5682;0;639784,948;5194975,532
16,3126;-64,3987;-1.1046;0.0097;16.6849;0;639786,313;5194975,601
17,6937;-64,3186;-1.1049;0.0165;16.5682;0;639787,694;5194975,681
19,0782;-64,2325;-1.1049;0.014;16.3348;0;639789,078;5194975,768
20,4462;-64,1649;-1.105;0.009;16.3348;0;639790,446;5194975,835
21,7932;-64,0991;-1.1052;0.0038;15.9848;0;639791,793;5194975,901
23,1205;-64,0377;-1.1056;-0.001;16.2182;0;639793,121;5194975,962
24,4303;-63,9855;-1.1058;-0.0038;15.7515;0;639794,430;5194976,015
25,7373;-63,9247;-1.1059;-0.0013;15.6348;0;639795,737;5194976,075
27,038;-63,8642;-1.1057;0.0012;15.1681;0;639797,038;5194976,136
28,3233;-63,8044;-1.1054;0.0035;15.1681;0;639798,323;5194976,196
29,583;-63,7419;-1.1055;0.0055;15.1681;0;639799,583;5194976,258
30,8244;-63,6754;-1.1055;0.0076;14.9347;0;639800,824;5194976,325
32,0506;-63,6118;-1.1056;0.0118;14.818;0;639802,051;5194976,388
33,2751;-63,5321;-1.1058;0.0237;14.7014;0;639803,275;5194976,468
34,4954;-63,4353;-1.1057;0.0383;14.5847;0;639804,495;5194976,565
35,6995;-63,3178;-1.1061;0.0626;14.118;0;639805,700;5194976,682
36,8803;-63,1587;-1.1063;0.0984;14.118;0;639806,880;5194976,841
38,0227;-62,9584;-1.107;0.1521;13.8846;0;639808,023;5194977,042
39,1175;-62,6682;-1.1069;0.2272;13.6513;0;639809,118;5194977,332
40,1764;-62,285;-1.1055;0.315;13.6513;0;639810,176;5194977,715
41,1935;-61,8002;-1.1035;0.4139;13.8846;0;639811,194;5194978,200
42,1609;-61,2;-1.1008;0.5224;13.8846;0;639812,161;5194978,800
43,0697;-60,4935;-1.0987;0.6306;14.118;0;639813,070;5194979,507
43,9026;-59,69;-1.0974;0.7371;14.468;0;639813,903;5194980,310
44,6561;-58,8061;-1.0981;0.8471;14.5847;0;639814,656;5194981,194
45,3036;-57,8424;-1.1004;0.9574;14.818;0;639815,304;5194982,158
45,8449;-56,8185;-1.1023;1.0643;14.818;0;639815,845;5194983,182
46,3013;-55,7298;-1.1047;1.1664;14.818;0;639816,301;5194984,270
46,6348;-54,5673;-1.1043;1.2557;15.0514;0;639816,635;5194985,433
46,8913;-53,3735;-1.1046;1.338;15.2847;0;639816,891;5194986,627
47,0544;-52,1223;-1.1045;1.4077;15.6348;0;639817,054;5194987,878
47,1526;-50,8254;-1.1037;1.4629;16.1015;0;639817,153;5194989,175
47,1933;-49,485;-1.1033;1.5016;16.5682;0;639817,193;5194990,515
47,197;-48,0967;-1.1029;1.5272;17.1516;0;639817,197;5194991,903
47,1736;-46,6593;-1.1025;1.545;17.8516;0;639817,174;5194993,341
47,1299;-45,1763;-1.1024;1.5553;18.3184;0;639817,130;5194994,824
47,093;-44,1542;-1.102;1.5592;18.7851;0;639817,093;5194995,846
47,0551;-43,1173;-1.102;1.5619;19.1351;0;639817,055;5194996,883
47,0104;-42,0625;-1.102;1.5626;19.4851;0;639817,010;5194997,938
46,9672;-40,9878;-1.1022;1.5627;19.8352;0;639816,967;5194999,012
46,9253;-39,8916;-1.1021;1.5622;20.1852;0;639816,925;5195000,108
46,8835;-38,7802;-1.1024;1.5619;20.3019;0;639816,884;5195001,220
46,8412;-37,645;-1.1022;1.5613;20.7686;0;639816,841;5195002,355
46,7985;-36,4961;-1.1021;1.5619;21.0019;0;639816,799;5195003,504
46,7538;-35,3316;-1.1018;1.5628;21.1186;0;639816,754;5195004,668
46,707;-34,155;-1.1016;1.5634;21.352;0;639816,707;5195005,845
46,6618;-32,9703;-1.1015;1.5645;21.4686;0;639816,662;5195007,030
46,6134;-31,7798;-1.1017;1.5645;21.702;0;639816,613;5195008,220
46,5657;-30,5786;-1.1017;1.5641;21.9354;0;639816,566;5195009,421
46,5153;-29,3721;-1.1018;1.5637;21.9354;0;639816,515;5195010,628
46,4651;-28,1541;-1.1016;1.563;22.1687;0;639816,465;5195011,846
46,4176;-26,9285;-1.1015;1.5628;22.2854;0;639816,418;5195013,072
46,371;-25,6962;-1.1015;1.5619;22.4021;0;639816,371;5195014,304
46,3263;-24,4576;-1.1015;1.5605;22.2854;0;639816,326;5195015,542
46,2839;-23,2102;-1.1014;1.5589;22.2854;0;639816,284;5195016,790
46,2438;-21,972;-1.1014;1.5567;22.1687;0;639816,244;5195018,028
46,2076;-20,739;-1.1011;1.5518;21.9354;0;639816,208;5195019,261
46,1857;-19,5176;-1.1008;1.5437;21.5853;0;639816,186;5195020,482
