x_real;y_real;z_real;yaw;velocity;change_flag
640203.7194;5193562.6319;160.0000;-0.4470;19.0184;0
640204.6907;5193562.2679;160.0000;-0.3797;18.9017;0
640205.6792;5193561.9782;160.0000;-0.3114;18.9017;0
640206.6800;5193561.7544;160.0000;-0.2435;18.7851;0
640207.6873;5193561.5991;160.0000;-0.1758;18.5517;0
640208.6998;5193561.5098;160.0000;-0.1084;18.6684;0
640209.7069;5193561.4901;160.0000;-0.0415;18.4350;0
640210.7073;5193561.5379;160.0000;0.0240;18.2017;0
640212.1869;5193561.7291;160.0000;0.1153;18.0850;0
640213.6377;5193562.0418;160.0000;0.1931;17.8516;0
640215.0572;5193562.4450;160.0000;0.2555;17.7350;0
640216.4402;5193562.9180;160.0000;0.3048;17.6183;0
640217.7919;5193563.4460;160.0000;0.3434;17.5016;0
640219.1223;5193564.0104;160.0000;0.3709;17.2683;0
640220.4318;5193564.5956;160.0000;0.3838;17.1516;0
640221.7290;5193565.1728;160.0000;0.3844;17.1516;0
640223.0200;5193565.7444;160.0000;0.3804;17.0349;0
640224.3103;5193566.3109;160.0000;0.3767;17.0349;0
640225.6009;5193566.8740;160.0000;0.3729;17.0349;0
640226.8939;5193567.4310;160.0000;0.3684;17.0349;0
640228.1910;5193567.9852;160.0000;0.3619;17.0349;0
640229.4954;5193568.5321;160.0000;0.3534;17.0349;0
640230.8064;5193569.0665;160.0000;0.3424;17.1516;0
640232.1254;5193569.5916;160.0000;0.3293;17.1516;0
640233.4592;5193570.0932;160.0000;0.3101;17.1516;0
640234.8011;5193570.5667;160.0000;0.2839;17.2683;0
640236.1608;5193570.9938;160.0000;0.2504;17.2683;0
640237.5388;5193571.3757;160.0000;0.2106;17.2683;0
640238.9353;5193571.6968;160.0000;0.1653;17.3849;0
640240.3423;5193571.9503;160.0000;0.1119;17.3849;0
640241.7615;5193572.1168;160.0000;0.0540;17.2683;0
640243.1865;5193572.2022;160.0000;-0.0094;17.3849;0
640244.6156;5193572.1885;160.0000;-0.0786;17.3849;0
640246.0354;5193572.0761;160.0000;-0.1516;17.3849;0
640247.4427;5193571.8583;160.0000;-0.2247;17.3849;0
640248.8325;5193571.5398;160.0000;-0.3002;17.3849;0
640250.1908;5193571.1137;160.0000;-0.3772;17.5016;0
640251.5180;5193570.5848;160.0000;-0.4539;17.5016;0
640252.8079;5193569.9543;160.0000;-0.5288;17.5016;0
640254.0567;5193569.2241;160.0000;-0.5990;17.6183;0
640255.2590;5193568.4107;160.0000;-0.6660;17.7350;0
640256.4096;5193567.5149;160.0000;-0.7327;17.8516;0
640257.5059;5193566.5406;160.0000;-0.8002;17.9683;0
640258.5397;5193565.4829;160.0000;-0.8739;17.9683;0
640259.4883;5193564.3462;160.0000;-0.9524;18.0850;0
640260.3436;5193563.1309;160.0000;-1.0312;18.0850;0
640261.1067;5193561.8441;160.0000;-1.1104;17.9683;0
640261.7580;5193560.5124;160.0000;-1.1893;17.8516;0
640262.2985;5193559.1484;160.0000;-1.2670;17.7350;0
640262.7244;5193557.7662;160.0000;-1.3427;17.5016;0
640263.0421;5193556.3727;160.0000;-1.4184;17.1516;0
640263.2493;5193554.9859;160.0000;-1.4933;17.0349;0
640263.3605;5193553.6081;160.0000;-1.5671;16.6849;0
640263.3692;5193552.2449;160.0000;-1.6393;16.4515;0
640263.2818;5193550.9025;160.0000;-1.7101;16.3348;0
640263.1029;5193549.5821;160.0000;-1.7791;16.1015;0
640262.8363;5193548.2848;160.0000;-1.8479;16.1015;0
640262.4852;5193547.0157;160.0000;-1.9161;15.9848;0
640262.0465;5193545.7845;160.0000;-1.9830;15.8681;0
640261.5345;5193544.5861;160.0000;-2.0482;15.7515;0
640260.9523;5193543.4308;160.0000;-2.1130;15.6348;0
640260.2992;5193542.3224;160.0000;-2.1770;15.5181;0
640259.5796;5193541.2669;160.0000;-2.2419;15.5181;0
640258.7998;5193540.2646;160.0000;-2.3077;15.4014;0
640257.9569;5193539.3201;160.0000;-2.3730;15.4014;0
640257.0567;5193538.4385;160.0000;-2.4413;15.2847;0
640256.1018;5193537.6244;160.0000;-2.5104;15.2847;0
640255.0986;5193536.8788;160.0000;-2.5792;15.1681;0
640254.0482;5193536.2084;160.0000;-2.6483;15.1681;0
640252.9608;5193535.6120;160.0000;-2.7177;15.1681;0
640251.8374;5193535.0935;160.0000;-2.7867;15.0514;0
640250.6842;5193534.6560;160.0000;-2.8568;15.0514;0
640249.5044;5193534.3018;160.0000;-2.9267;15.0514;0
640248.3034;5193534.0291;160.0000;-2.9966;15.0514;0
640247.0874;5193533.8433;160.0000;-3.0668;15.0514;0
640245.8587;5193533.7425;160.0000;-3.1368;15.0514;0
640244.6254;5193533.7284;160.0000;3.0771;15.0514;0
640243.3890;5193533.8000;160.0000;3.0117;15.1681;0
640242.1528;5193533.9481;160.0000;2.9501;15.2847;0
640240.9148;5193534.1702;160.0000;2.8923;15.2847;0
640239.6837;5193534.4624;160.0000;2.8413;15.4014;0
640238.4593;5193534.8119;160.0000;2.7994;15.5181;0
640237.2370;5193535.2052;160.0000;2.7692;15.6348;0
640236.0120;5193535.6332;160.0000;2.7457;15.7515;0
640234.7866;5193536.0890;160.0000;2.7324;15.8681;0
640233.5528;5193536.5565;160.0000;2.7292;15.9848;0
640232.2998;5193537.0225;160.0000;2.7324;16.2182;0
640231.0401;5193537.4903;160.0000;2.7367;16.3348;0
640229.7640;5193537.9558;160.0000;2.7421;16.5682;0
640228.4694;5193538.4191;160.0000;2.7498;16.6849;0
640227.1566;5193538.8766;160.0000;2.7594;16.9182;0
640225.8288;5193539.3259;160.0000;2.7710;17.0349;0
640224.4804;5193539.7548;160.0000;2.7878;17.2683;0
640223.1126;5193540.1622;160.0000;2.8094;17.3849;0
640221.7221;5193540.5412;160.0000;2.8353;17.6183;0
640220.3109;5193540.8809;160.0000;2.8651;17.6183;0
640218.8772;5193541.1801;160.0000;2.8982;17.7350;0
640217.4185;5193541.4333;160.0000;2.9321;17.9683;0
640215.9457;5193541.6387;160.0000;2.9663;18.0850;0
640214.4568;5193541.7903;160.0000;3.0000;18.2017;0
640213.4538;5193541.8661;160.0000;3.0223;18.3184;0
640212.4438;5193541.9209;160.0000;3.0433;18.4350;0
640211.4242;5193541.9521;160.0000;3.0645;18.5517;0
640210.4034;5193541.9669;160.0000;3.0833;18.5517;0
640209.3777;5193541.9610;160.0000;3.1000;18.6684;0
640208.3468;5193541.9414;160.0000;3.1140;18.7851;0
640207.3086;5193541.9074;160.0000;3.1258;18.9017;0
640206.2603;5193541.8674;160.0000;3.1340;19.0184;0
640205.2148;5193541.8171;160.0000;3.1408;19.0184;0
640204.1634;5193541.7607;160.0000;-3.1383;19.2518;0
640203.1081;5193541.7025;160.0000;-3.1390;19.2518;0
640202.0450;5193541.6505;160.0000;3.1413;19.3685;0
640200.9768;5193541.6016;160.0000;3.1374;19.4851;0
640199.9026;5193541.5557;160.0000;3.1345;19.4851;0
640198.8258;5193541.5140;160.0000;3.1306;19.6018;0
640197.7448;5193541.4734;160.0000;3.1275;19.6018;0
640196.6595;5193541.4389;160.0000;3.1237;19.4851;0
640195.5773;5193541.4068;160.0000;3.1205;19.2518;0
640194.5028;5193541.3802;160.0000;3.1172;19.2518;0
640193.4442;5193541.3548;160.0000;3.1139;18.9017;0
640192.3964;5193541.3336;160.0000;3.1108;18.9017;0
640191.3622;5193541.3156;160.0000;3.1073;18.4350;0
640190.3408;5193541.3010;160.0000;3.1046;18.3184;0
