x_real,y_real,z_real,yaw,velocity,change_flag
640205.9101,5193539.3379,160.0000,3.1066,16.3348,0
640204.5610,5193539.3136,160.0000,3.1112,16.2182,0
640203.2232,5193539.2852,160.0000,3.1153,16.1015,0
640201.8910,5193539.2521,160.0000,3.1189,15.8681,0
640200.5734,5193539.2108,160.0000,3.1227,15.8681,0
640199.2659,5193539.1708,160.0000,3.1243,15.7515,0
640197.9663,5193539.1284,160.0000,3.1246,15.6348,0
640196.6749,5193539.0825,160.0000,3.1251,15.5181,0
640195.3931,5193539.0408,160.0000,3.1239,15.5181,0
640194.1187,5193539.0001,160.0000,3.1238,15.2847,0
640192.8503,5193538.9541,160.0000,3.1249,15.4014,0
640191.5851,5193538.9118,160.0000,3.1263,15.4014,0
640190.3115,5193538.8658,160.0000,3.1271,15.4014,0
640189.0331,5193538.8166,160.0000,3.1266,15.4014,0
640187.7519,5193538.7742,160.0000,3.1235,15.4014,0
640186.4782,5193538.7320,160.0000,3.1165,15.4014,0
640185.2089,5193538.7022,160.0000,3.1062,15.4014,0
640183.9441,5193538.6954,160.0000,3.0922,15.2847,0
640182.6877,5193538.7073,160.0000,3.0734,15.1681,0
640181.4394,5193538.7424,160.0000,3.0530,15.0514,0
640180.1927,5193538.8075,160.0000,3.0306,15.0514,0
640178.9505,5193538.8990,160.0000,3.0043,15.0514,0
640177.7163,5193539.0235,160.0000,2.9746,15.0514,0
640176.4877,5193539.1890,160.0000,2.9396,15.0514,0
640175.2675,5193539.3982,160.0000,2.9003,15.0514,0
640174.0573,5193539.6609,160.0000,2.8581,15.0514,0
640172.8620,5193539.9770,160.0000,2.8153,15.0514,0
640171.6815,5193540.3442,160.0000,2.7686,15.0514,0
640170.5207,5193540.7662,160.0000,2.7220,14.9347,0
640169.3822,5193541.2389,160.0000,2.6769,14.8180,0
640168.2761,5193541.7589,160.0000,2.6328,14.8180,0
640167.1990,5193542.3244,160.0000,2.5893,14.7014,0
640166.1577,5193542.9328,160.0000,2.5459,14.4680,0
640165.1556,5193543.5760,160.0000,2.5015,14.3513,0
640164.1923,5193544.2526,160.0000,2.4556,14.2346,0
640163.2716,5193544.9711,160.0000,2.4103,14.2346,0
640162.3787,5193545.7302,160.0000,2.3661,14.1180,0
640161.5206,5193546.5272,160.0000,2.3304,14.2346,0
640160.6842,5193547.3517,160.0000,2.3028,14.2346,0
640159.8655,5193548.1963,160.0000,2.2804,14.2346,0
640159.0652,5193549.0622,160.0000,2.2638,14.3513,0
640158.2717,5193549.9355,160.0000,2.2538,14.2346,0
640157.4804,5193550.8163,160.0000,2.2464,14.3513,0
640156.6947,5193551.7143,160.0000,2.2387,14.4680,0
640155.9065,5193552.6213,160.0000,2.2315,14.5847,0
640155.1174,5193553.5452,160.0000,2.2263,14.8180,0
640154.3265,5193554.4835,160.0000,2.2213,14.9347,0
640153.5248,5193555.4369,160.0000,2.2204,15.1681,0
640152.7138,5193556.3980,160.0000,2.2213,15.2847,0
640151.8967,5193557.3653,160.0000,2.2219,15.2847,0
640151.0771,5193558.3304,160.0000,2.2229,15.2847,0
640150.2610,5193559.2978,160.0000,2.2243,15.2847,0
640149.4432,5193560.2574,160.0000,2.2260,15.0514,0
640148.6323,5193561.2063,160.0000,2.2282,14.9347,0
640147.8275,5193562.1477,160.0000,2.2302,14.8180,0
640147.0301,5193563.0732,160.0000,2.2311,14.7014,0
640146.2431,5193563.9890,160.0000,2.2307,14.5847,0
640145.4656,5193564.9008,160.0000,2.2306,14.4680,0
640144.6820,5193565.8056,160.0000,2.2322,14.4680,0
640143.9026,5193566.7112,160.0000,2.2342,14.4680,0
640143.1209,5193567.6113,160.0000,2.2355,14.3513,0
640142.3387,5193568.5100,160.0000,2.2372,14.3513,0
640141.5550,5193569.4065,160.0000,2.2387,14.3513,0
640140.7758,5193570.2922,160.0000,2.2398,14.1180,0
640140.0033,5193571.1724,160.0000,2.2415,14.2346,0
640139.2268,5193572.0561,160.0000,2.2427,14.1180,0
640138.4487,5193572.9381,160.0000,2.2442,14.2346,0
640137.6687,5193573.8251,160.0000,2.2461,14.3513,0
640136.8826,5193574.7052,160.0000,2.2460,14.2346,0
640136.1001,5193575.5879,160.0000,2.2423,14.1180,0
640135.3279,5193576.4684,160.0000,2.2356,14.0013,0
640134.5669,5193577.3458,160.0000,2.2246,13.8846,0
640133.8325,5193578.2268,160.0000,2.2040,13.7679,0
640133.1339,5193579.1142,160.0000,2.1754,13.5346,0
640132.4735,5193580.0068,160.0000,2.1410,13.3012,0
640131.8576,5193580.9116,160.0000,2.0978,13.0679,0
640131.2927,5193581.8320,160.0000,2.0463,12.9512,0
640130.7922,5193582.7689,160.0000,1.9861,12.8345,0
640130.3541,5193583.7163,160.0000,1.9173,12.7178,0
640129.9984,5193584.6773,160.0000,1.8322,12.6012,0
640129.7447,5193585.6559,160.0000,1.7382,12.4845,0
640129.5504,5193586.9643,160.0000,1.6115,12.2511,0
640129.5222,5193588.2676,160.0000,1.4873,12.0178,0
640129.6560,5193589.5548,160.0000,1.3763,11.5511,0
640129.8985,5193590.8023,160.0000,1.2786,11.5511,0
640130.2600,5193591.9903,160.0000,1.1860,11.3177,0
640130.7246,5193593.1267,160.0000,1.1027,11.0844,0
640131.2513,5193594.2190,160.0000,1.0397,10.8510,0
640131.8276,5193595.2509,160.0000,1.0002,10.5010,0
640132.4048,5193596.2361,160.0000,0.9818,9.8009,0
640132.9495,5193597.1481,160.0000,0.9779,9.2175,0
640133.4637,5193598.0146,160.0000,0.9808,8.8675,0
640134.0684,5193599.0428,160.0000,0.9875,8.4008,0
640134.6315,5193600.0142,160.0000,0.9939,7.7007,0
640135.1326,5193600.8887,160.0000,0.9988,6.7673,0
640135.6511,5193601.7940,160.0000,0.9991,5.8339,0
640136.1815,5193602.7182,160.0000,1.0004,5.1338,0
640136.7274,5193603.6620,160.0000,1.0031,4.5504,0
640137.2347,5193604.5546,160.0000,1.0053,1.8668,0
