x;y;z;yaw;velocity;change_flag;x_real;y_real
6,5059;-37,7483;-1,1022;1,5929;18,435;0;639776,51;5195002,25
6,4497;-36,7268;-1,1021;1,5875;18,6684;0;639776,45;5195003,27
6,3918;-35,6949;-1,1021;1,586;18,9017;0;639776,39;5195004,31
6,3331;-34,6504;-1,102;1,5853;19,0184;0;639776,33;5195005,35
6,2768;-33,5996;-1,102;1,5848;19,1351;0;639776,28;5195006,40
6,2198;-32,5357;-1,1017;1,5842;19,2518;0;639776,22;5195007,46
6,1613;-31,4715;-1,1019;1,5836;19,3685;0;639776,16;5195008,53
6,1049;-30,3981;-1,1019;1,5842;19,6018;0;639776,10;5195009,60
6,0425;-29,3169;-1,1021;1,5885;19,7185;0;639776,04;5195010,68
5,9691;-28,2241;-1,1017;1,5969;19,8352;0;639775,97;5195011,78
5,884;-27,1204;-1,1013;1,6093;19,9518;0;639775,88;5195012,88
5,7776;-26,0117;-1,1007;1,6258;20,1852;0;639775,78;5195013,99
5,6509;-24,8986;-1,1003;1,6432;20,3019;0;639775,65;5195015,10
5,5063;-23,7791;-1,1;1,6604;20,4186;0;639775,51;5195016,22
5,3399;-22,6576;-1,0999;1,6763;20,5352;0;639775,34;5195017,34
5,1562;-21,5344;-1,1004;1,6903;20,7686;0;639775,16;5195018,47
4,9576;-20,4003;-1,1004;1,7034;20,8853;0;639774,96;5195019,60
4,7385;-19,2632;-1,1004;1,7154;21,0019;0;639774,74;5195020,74
4,5106;-18,1211;-1,1002;1,7251;21,1186;0;639774,51;5195021,88
4,2726;-16,9715;-1,0999;1,7313;21,2353;0;639774,27;5195023,03
4,0265;-15,8209;-1,1;1,7362;21,352;0;639774,03;5195024,18
3,7756;-14,6663;-1,1004;1,7397;21,352;0;639773,78;5195025,33
3,5198;-13,5068;-1,1006;1,7429;21,4686;0;639773,52;5195026,49
3,259;-12,3558;-1,1016;1,7445;21,4686;0;639773,26;5195027,64
2,9998;-11,2036;-1,1021;1,7449;21,2353;0;639773,00;5195028,80
